generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Mormoops_megalophylla,Natalus_tumidirostris,0,0.032,0,0.005,0
1000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0502882,0.0271912,0.00132116,0
2000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0655533,0.00640757,0.00247236,0
3000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0778604,-0.000526459,0.00542219,0
4000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.047356,0.0256814,0.00405616,0
5000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.111726,-0.00947448,0.0123712,0
6000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.085408,-0.00156642,0.0110114,0
7000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.102063,-0.00805446,0.013703,0
8000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.144348,-0.0139655,0.00713645,0
9000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.178612,-0.0129878,0.0456987,0
10000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.132489,-0.00849066,0.0251643,0
11000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.235111,-0.0192459,0.0469337,0
12000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.1983,-0.0127463,0.0616563,0
13000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.222579,-0.0199782,0.0380883,0
13000,Myotis_sodalis,Myotis_fortidens,29.5367,0.201448,-0.0250196,0.00706792,0
14000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.162009,-0.0175191,0.0178118,0
14000,Myotis_sodalis,Myotis_fortidens,21.9175,0.26991,-0.0249523,0.0695261,0
15000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.179013,-0.0154548,0.0492578,0
16000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.112371,-0.00521621,0.0231413,0
16000,Centronycteris_maximiliani,Centronycteris_centralis,41.1064,0.479373,-0.0370228,0.296884,0
17000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0920076,-0.00156122,0.0299559,0
18000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.154536,-0.0138942,0.034199,0
19000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.245804,-0.017748,0.0673027,0
20000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.213909,-0.0186913,0.0469603,0
21000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.119288,-0.0120408,0.00305355,0
22000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.189834,-0.013762,0.0574731,0
23000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.211785,-0.0138005,0.0727794,0
23000,Baeodon_gracilis,NA,53.6693,0.0830772,-0.022416,0.831006,0
24000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.156103,-0.0109167,0.0452503,0
25000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0833399,0.00361599,0.0268253,0
26000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0632449,0.0106589,0.00667871,0
27000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0871326,-0.00127478,0.00816845,0
28000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0874135,-0.00296704,0.00251156,0
29000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0551075,0.0169844,0.0102493,0
30000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0419721,0.0370993,5.62363e-005,0
31000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0872522,-0.000396984,0.0191473,0
32000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0781343,-0.00179987,0.0021569,0
33000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0785191,-0.000151033,0.000289257,0
34000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0826076,-0.00191972,0.00795516,0
35000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.166666,-0.0109094,0.0266388,0
36000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.152257,-0.0101014,0.0474098,0
37000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0719331,0.0013556,0.00137922,0
38000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.15836,-0.0131151,0.0474827,0
39000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0608062,0.0094865,0.00999958,0
40000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0692984,0.000757584,0.00545766,0
41000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0843399,-0.00599591,0.00978741,0
42000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.184563,-0.0153724,0.0462538,0
43000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.109701,-0.00611882,0.00551887,0
44000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0901495,0.000886299,0.0430087,0
45000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0686941,0.00348487,0.00366909,0
46000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.12598,-0.00850925,0.0191646,0
47000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.177841,-0.0166903,0.0310925,0
48000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0954336,-0.00429278,0.00905231,0
49000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.130434,-0.00868586,0.0238372,0
50000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0524351,0.00844321,0.00363628,0
51000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.145282,-0.0107426,0.0368372,0
52000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.174627,-0.00849238,0.0728978,0
53000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.114249,-0.00914893,0.0111129,0
54000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0700843,0.000487987,0.00597589,0
55000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.107291,-0.00601018,0.0176781,0
56000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.10865,-0.0096186,0.00145243,0
56000,Rhogeessa_parvula,NA,53.988,0.366017,-0.00552423,0.278447,0
57000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.10535,-0.00530635,0.019902,0
58000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0890078,-0.00439992,0.00169317,0
59000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0790237,-0.00429227,0.000263502,0
60000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0854275,-0.00434438,0.00230363,0
61000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.079935,-0.00118049,0.013349,0
62000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0921071,0.000199914,0.0347712,0
63000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0838715,0.000454534,0.0133911,0
64000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.090111,-0.00459059,0.0109953,0
64000,Natalus_tumidirostris,NA,45.5708,0.138913,0.0336423,0.399142,0
65000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.09084,-0.00705845,0.000993388,0
65000,Promops_nasutus,Molossus_pretiosus,32.3424,0.341175,-0.0437858,0.0906166,0
66000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0386022,0.039255,0.00760765,0
67000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0674818,0.00654711,0.00822434,0
68000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.19509,-0.0191718,0.0270049,0
69000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.11226,-0.00729893,0.00115022,0
70000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.114823,-0.00644419,0.0104,0
71000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.0997265,-0.00160435,0.0280112,0
72000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.158075,-0.0153415,0.0181624,0
73000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.161102,-0.0178038,0.0303414,0
74000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.154172,-0.0153549,0.0194173,0
75000,Mormoops_megalophylla,Natalus_tumidirostris,0,0.112156,-0.00894889,2.17937e-005,0
75000,Eptesicus_innoxius,Baeodon_alleni,53.6824,0.480111,0.0154706,0.0934848,0
