71	2	(N S)
Antrozous_pallidus		10
Baeodon_alleni		10
Baeodon_gracilis		10
Bauerus_dubiaquercus		10
Corynorhinus_mexicanus		10
Corynorhinus_rafinesquii		10
Corynorhinus_townsendii		10
Eptesicus_brasiliensis		11
Eptesicus_chiriquinus		11
Eptesicus_diminutus		01
Eptesicus_furinalis		11
Eptesicus_fuscus		11
Eptesicus_innoxius		01
Euderma_maculatum		10
Histiotus_alienus		01
Histiotus_humboldti		01
Histiotus_laephotis		01
Histiotus_macrotus		01
Histiotus_magellanicus		01
Histiotus_montanus		01
Histiotus_velatus		01
Idionycteris_phyllotis		10
Lasionycteris_noctivagans		10
Lasiurus_atratus		01
Lasiurus_blossevillii		11
Lasiurus_borealis		10
Lasiurus_cinereus		11
Lasiurus_ega		11
Lasiurus_egregius		11
Lasiurus_intermedius		10
Lasiurus_seminolus		10
Lasiurus_xanthinus		10
Myotis_albescens		11
Myotis_atacamensis		01
Myotis_auriculus		10
Myotis_austroriparius		10
Myotis_californicus		10
Myotis_chiloensis		01
Myotis_ciliolabrum		10
Myotis_elegans		10
Myotis_evotis		10
Myotis_fortidens		10
Myotis_grisescens		10
Myotis_keaysi		11
Myotis_keenii		10
Myotis_leibii		10
Myotis_levis		01
Myotis_lucifugus		10
Myotis_nesopolus		01
Myotis_nigricans		11
Myotis_oxyotus		11
Myotis_planiceps		10
Myotis_riparius		11
Myotis_ruber		01
Myotis_septentrionalis		10
Myotis_simus		01
Myotis_sodalis		10
Myotis_thysanodes		10
Myotis_velifer		10
Myotis_vivesi		10
Myotis_volans		10
Myotis_yumanensis		10
Nycticeius_humeralis		10
Parastrellus_hesperus		10
Perimyotis_subflavus		10
Rhogeessa_aeneus		10
Rhogeessa_genowaysi		10
Rhogeessa_io		11
Rhogeessa_mira		10
Rhogeessa_parvula		10
Rhogeessa_tumida		10
