species	geohisse
Antrozous_pallidus	1
Baeodon_alleni	1
Baeodon_gracilis	1
Bauerus_dubiaquercus	1
Corynorhinus_mexicanus	1
Corynorhinus_rafinesquii	1
Corynorhinus_townsendii	1
Eptesicus_brasiliensis	0
Eptesicus_chiriquinus	0
Eptesicus_diminutus	2
Eptesicus_furinalis	0
Eptesicus_fuscus	0
Eptesicus_innoxius	2
Euderma_maculatum	1
Histiotus_alienus	2
Histiotus_humboldti	2
Histiotus_laephotis	2
Histiotus_macrotus	2
Histiotus_magellanicus	2
Histiotus_montanus	2
Histiotus_velatus	2
Idionycteris_phyllotis	1
Lasionycteris_noctivagans	1
Lasiurus_atratus	2
Lasiurus_blossevillii	0
Lasiurus_borealis	1
Lasiurus_cinereus	0
Lasiurus_ega	0
Lasiurus_egregius	0
Lasiurus_intermedius	1
Lasiurus_seminolus	1
Lasiurus_xanthinus	1
Myotis_albescens	0
Myotis_atacamensis	2
Myotis_auriculus	1
Myotis_austroriparius	1
Myotis_californicus	1
Myotis_chiloensis	2
Myotis_ciliolabrum	1
Myotis_elegans	1
Myotis_evotis	1
Myotis_fortidens	1
Myotis_grisescens	1
Myotis_keaysi	0
Myotis_keenii	1
Myotis_leibii	1
Myotis_levis	2
Myotis_lucifugus	1
Myotis_nesopolus	2
Myotis_nigricans	0
Myotis_oxyotus	0
Myotis_planiceps	1
Myotis_riparius	0
Myotis_ruber	2
Myotis_septentrionalis	1
Myotis_simus	2
Myotis_sodalis	1
Myotis_thysanodes	1
Myotis_velifer	1
Myotis_vivesi	1
Myotis_volans	1
Myotis_yumanensis	1
Nycticeius_humeralis	1
Parastrellus_hesperus	1
Perimyotis_subflavus	1
Rhogeessa_aeneus	1
Rhogeessa_genowaysi	1
Rhogeessa_io	0
Rhogeessa_mira	1
Rhogeessa_parvula	1
Rhogeessa_tumida	1
