generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.91357,-523.666,1,0
1000,0,2.68173,-479.902,0.32899,0.327
2000,0,3.09518,-478.548,0.687254,0.344
3000,0,3.57542,-477.436,0.213743,0.349
4000,0,2.80276,-479.15,0.301743,0.42
5000,0,3.23979,-477.363,0.335401,0.353929
6000,0,3.6442,-477.537,0.107193,0.3075
7000,0,2.72155,-477.99,0.905055,0.328382
8000,0,3.31703,-477.773,0.0617698,0.32
9000,0,3.20417,-478.001,0.0101457,0.32
10000,0,2.90278,-477.638,0.603085,0.302
11000,0,2.75111,-479.094,0.0727757,0.312335
12000,0,2.62975,-478.868,0.49626,0.228
13000,1,3.45859,-474.533,2.11153,0.419
14000,1,4.41904,-473.748,1.12848,0.461
15000,0,2.79027,-478.59,0.331468,0.417
16000,1,3.61541,-479.801,0.332604,0.339714
17000,0,3.10347,-479.12,0.579455,0.278
18000,0,3.07702,-477.906,0.20422,0.275
19000,0,2.38576,-479.116,0.419572,0.319357
20000,0,2.80617,-478.359,0.0990718,0.3052
21000,0,3.20045,-477.349,0.314955,0.325
22000,0,2.77992,-478.23,0.348547,0.271333
23000,1,2.98636,-481.565,1.01599,0.227
24000,0,3.23972,-477.877,0.093981,0.280667
25000,0,3.43287,-480.128,0.269263,0.30075
26000,0,3.03799,-479.644,0.654592,0.296
27000,0,3.4918,-477.676,0.263557,0.331
28000,0,3.41223,-477.118,0.349159,0.315
29000,0,2.95997,-479.631,0.540603,0.328
30000,0,1.41919,-478.788,0.87312,0.315
31000,0,3.60664,-478.246,0.120681,0.333
32000,0,3.79267,-477.239,0.00105392,0.309
33000,0,3.01117,-477.484,0.790283,0.278
34000,0,3.65248,-477.409,0.11318,0.354
35000,0,3.19833,-480.761,0.157143,0.295167
36000,0,2.99842,-478.074,0.359826,0.281
37000,0,3.53015,-477.518,0.283923,0.339
38000,0,3.20001,-478.869,0.059945,0.298071
39000,0,3.28023,-479.067,0.437584,0.333
40000,0,3.55006,-478.084,0.261619,0.331
41000,0,3.2768,-479.783,0.441608,0.248667
42000,0,2.994,-477.937,0.123874,0.33
43000,0,3.63708,-477.914,0.0230404,0.277333
44000,0,2.90575,-481.361,0.749092,0.288
45000,0,3.26307,-477.953,0.541501,0.413
46000,0,3.23218,-477.374,0.306859,0.26675
47000,0,3.019,-477.807,0.108191,0.268
48000,0,3.61001,-477.15,0.101097,0.271417
49000,0,3.06077,-477.445,0.450246,0.258286
50000,0,3.45326,-479.491,0.325906,0.302
51000,0,3.34572,-477.6,0.0439646,0.28
52000,0,3.26274,-480.008,0.00213687,0.253
53000,0,3.44469,-477.05,0.134198,0.301
54000,0,3.77962,-478.11,0.0289489,0.32075
55000,0,1.11975,-477.26,2.51577,0.286
56000,1,5.15063,-477.894,0.70809,0.28325
57000,0,3.50776,-477.419,0.136308,0.31725
58000,0,2.99252,-476.958,0.754464,0.377667
59000,0,3.32106,-477.863,0.457618,0.284
60000,0,3.49431,-477.164,0.261204,0.339667
61000,0,3.65154,-478.14,0.109504,0.285
62000,0,3.59939,-479.734,0.0731593,0.327833
63000,0,1.9205,-478.23,1.83126,0.258
64000,1,3.71696,-475.917,1.24818,0.314
65000,1,3.83452,-476.272,0.489356,0.513
66000,0,1.78064,-480.89,0.308189,0.319667
67000,0,3.25585,-478.903,0.503872,0.316
68000,0,2.74837,-478.359,0.239573,0.318556
69000,0,3.21047,-478,0.436006,0.39225
70000,0,3.5068,-477.963,0.121723,0.358556
71000,0,3.45379,-478.653,0.2135,0.277
72000,0,3.04472,-477.608,0.220599,0.262667
73000,0,1.43512,-479.931,1.6941,0.269
74000,0,3.04622,-477.611,0.225718,0.312143
75000,1,4.28981,-476.08,1.52394,0.314
76000,0,3.75387,-478.363,0.0746511,0.30325
77000,0,3.25975,-480.766,0.228229,0.29175
78000,0,3.36194,-480.421,0.240537,0.251
79000,0,3.73313,-478.052,0.0836133,0.286
80000,0,3.26856,-478.325,0.517638,0.501
81000,0,3.55459,-479.24,0.0440645,0.291
82000,0,3.60844,-477.9,0.178943,0.375
83000,0,3.36835,-477.107,0.234048,0.298
84000,0,2.85714,-481.464,0.59164,0.31
85000,0,3.04471,-478.486,0.715493,0.333
86000,0,3.57883,-477.899,0.0539887,0.344182
87000,0,3.56735,-477.097,0.185636,0.2975
88000,0,3.69237,-477.416,0.0648037,0.295
