family,genus,genus.species
Emballonuridae,Balantiopteryx,Balantiopteryx infusca
Emballonuridae,Centronycteris,Centronycteris centralis
Emballonuridae,Centronycteris,Centronycteris maximiliani
Emballonuridae,Cormura,Cormura brevirostris
Emballonuridae,Cyttarops,Cyttarops alecto
Emballonuridae,Diclidurus,Diclidurus albus
Emballonuridae,Diclidurus,Diclidurus ingens
Emballonuridae,Diclidurus,Diclidurus scutatus
Emballonuridae,Peropteryx,Peropteryx kappleri
Emballonuridae,Peropteryx,Peropteryx leucoptera
Emballonuridae,Peropteryx,Peropteryx macrotis
Emballonuridae,Rhynchonycteris,Rhynchonycteris naso
Emballonuridae,Saccopteryx,Saccopteryx bilineata
Emballonuridae,Saccopteryx,Saccopteryx canescens
Emballonuridae,Saccopteryx,Saccopteryx gymnura
Emballonuridae,Saccopteryx,Saccopteryx leptura
Furipteridae,Amorphochilus,Amorphochilus schnablii
Furipteridae,Furipterus,Furipterus horrens
Molossidae,Cynomops,Cynomops abrasus
Molossidae,Cynomops,Cynomops paranus
Molossidae,Cynomops,Cynomops planirostris
Molossidae,Eumops,Eumops auripendulus
Molossidae,Eumops,Eumops bonariensis
Molossidae,Eumops,Eumops dabbenei
Molossidae,Eumops,Eumops glaucinus
Molossidae,Eumops,Eumops hansae
Molossidae,Eumops,Eumops maurus
Molossidae,Eumops,Eumops patagonicus
Molossidae,Eumops,Eumops perotis
Molossidae,Eumops,Eumops wilsoni
Molossidae,Molossops,Molossops aequatorianus
Molossidae,Molossops,Molossops mattogrossensis
Molossidae,Molossops,Molossops neglectus
Molossidae,Molossops,Molossops temminckii
Molossidae,Molossus,Molossus coibensis
Molossidae,Molossus,Molossus molossus
Molossidae,Molossus,Molossus pretiosus
Molossidae,Molossus,Molossus rufus
Molossidae,Molossus,Molossus sinaloae
Molossidae,Nyctinomops,Nyctinomops aurispinosus
Molossidae,Nyctinomops,Nyctinomops laticaudatus
Molossidae,Nyctinomops,Nyctinomops macrotis
Molossidae,Promops,Promops centralis
Molossidae,Promops,Promops davisoni
Molossidae,Promops,Promops nasutus
Molossidae,Tadarida,Tadarida brasiliensis
Molossidae,Tomopeas,Tomopeas ravus
Mormoopidae,Mormoops,Mormoops megalophylla
Mormoopidae,Pteronotus,Pteronotus davyi
Mormoopidae,Pteronotus,Pteronotus gymnonotus
Mormoopidae,Pteronotus,Pteronotus personatus
Mormoopidae,Pteronotus,Pteronotus rubiginosus
Natalidae,Natalus,Natalus tumidirostris
Thyropteridae,Thyroptera,Thyroptera discifera
Thyropteridae,Thyroptera,Thyroptera lavali
Thyropteridae,Thyroptera,Thyroptera tricolor
Vespertilionidae,Antrozous,Antrozous pallidus
Vespertilionidae,Baeodon,Baeodon alleni
Vespertilionidae,Baeodon,Baeodon gracilis
Vespertilionidae,Bauerus,Bauerus dubiaquercus
Vespertilionidae,Corynorhinus,Corynorhinus mexicanus
Vespertilionidae,Corynorhinus,Corynorhinus rafinesquii
Vespertilionidae,Corynorhinus,Corynorhinus townsendii
Vespertilionidae,Eptesicus,Eptesicus brasiliensis
Vespertilionidae,Eptesicus,Eptesicus chiriquinus
Vespertilionidae,Eptesicus,Eptesicus diminutus
Vespertilionidae,Eptesicus,Eptesicus furinalis
Vespertilionidae,Eptesicus,Eptesicus fuscus
Vespertilionidae,Eptesicus,Eptesicus innoxius
Vespertilionidae,Euderma,Euderma maculatum
