species	group.occurrence
Amorphochilus_schnablii	non.vesper.sa
Antrozous_pallidus	vesper.na
Baeodon_alleni	vesper.na
Baeodon_gracilis	vesper.na
Balantiopteryx_infusca	non.vesper.sa
Bauerus_dubiaquercus	vesper.na
Centronycteris_centralis	non.vesper.sa
Centronycteris_maximiliani	non.vesper.sa
Cormura_brevirostris	non.vesper.sa
Corynorhinus_mexicanus	vesper.na
Corynorhinus_rafinesquii	vesper.na
Corynorhinus_townsendii	vesper.na
Cynomops_abrasus	non.vesper.sa
Cynomops_paranus	non.vesper.sa
Cynomops_planirostris	non.vesper.sa
Cyttarops_alecto	non.vesper.sa
Diclidurus_albus	non.vesper.sa
Diclidurus_ingens	non.vesper.sa
Diclidurus_scutatus	non.vesper.sa
Eptesicus_brasiliensis	both
Eptesicus_chiriquinus	both
Eptesicus_diminutus	vesper.sa
Eptesicus_furinalis	both
Eptesicus_fuscus	both
Eptesicus_innoxius	vesper.sa
Euderma_maculatum	vesper.na
Eumops_auripendulus	non.vesper.sa
Eumops_bonariensis	non.vesper.sa
Eumops_dabbenei	non.vesper.sa
Eumops_glaucinus	non.vesper.sa
Eumops_hansae	non.vesper.sa
Eumops_maurus	non.vesper.sa
Eumops_patagonicus	non.vesper.sa
Eumops_perotis	non.vesper.sa
Eumops_wilsoni	non.vesper.sa
Furipterus_horrens	non.vesper.sa
Histiotus_alienus	vesper.sa
Histiotus_humboldti	vesper.sa
Histiotus_laephotis	vesper.sa
Histiotus_macrotus	vesper.sa
Histiotus_magellanicus	vesper.sa
Histiotus_montanus	vesper.sa
Histiotus_velatus	vesper.sa
Idionycteris_phyllotis	vesper.na
Lasionycteris_noctivagans	vesper.na
Lasiurus_atratus	vesper.sa
Lasiurus_blossevillii	both
Lasiurus_borealis	vesper.na
Lasiurus_cinereus	both
Lasiurus_ega	both
Lasiurus_egregius	both
Lasiurus_intermedius	vesper.na
Lasiurus_seminolus	vesper.na
Lasiurus_xanthinus	vesper.na
Molossops_aequatorianus	non.vesper.sa
Molossops_mattogrossensis	non.vesper.sa
Molossops_neglectus	non.vesper.sa
Molossops_temminckii	non.vesper.sa
Molossus_coibensis	non.vesper.sa
Molossus_molossus	non.vesper.sa
Molossus_pretiosus	non.vesper.sa
Molossus_rufus	non.vesper.sa
Molossus_sinaloae	non.vesper.sa
Mormoops_megalophylla	non.vesper.sa
Myotis_albescens	both
Myotis_atacamensis	vesper.sa
Myotis_auriculus	vesper.na
Myotis_austroriparius	vesper.na
Myotis_californicus	vesper.na
Myotis_chiloensis	vesper.sa
Myotis_ciliolabrum	vesper.na
Myotis_elegans	vesper.na
Myotis_evotis	vesper.na
Myotis_fortidens	vesper.na
Myotis_grisescens	vesper.na
Myotis_keaysi	both
Myotis_keenii	vesper.na
Myotis_leibii	vesper.na
Myotis_levis	vesper.sa
Myotis_lucifugus	vesper.na
Myotis_nesopolus	vesper.sa
Myotis_nigricans	both
Myotis_oxyotus	both
Myotis_planiceps	vesper.na
Myotis_riparius	both
Myotis_ruber	vesper.sa
Myotis_septentrionalis	vesper.na
Myotis_simus	vesper.sa
Myotis_sodalis	vesper.na
Myotis_thysanodes	vesper.na
Myotis_velifer	vesper.na
Myotis_vivesi	vesper.na
Myotis_volans	vesper.na
Myotis_yumanensis	vesper.na
Natalus_tumidirostris	non.vesper.sa
Nycticeius_humeralis	vesper.na
Nyctinomops_aurispinosus	non.vesper.sa
Nyctinomops_laticaudatus	non.vesper.sa
Nyctinomops_macrotis	non.vesper.sa
Parastrellus_hesperus	vesper.na
Perimyotis_subflavus	vesper.na
Peropteryx_kappleri	non.vesper.sa
Peropteryx_leucoptera	non.vesper.sa
Peropteryx_macrotis	non.vesper.sa
Promops_centralis	non.vesper.sa
Promops_davisoni	non.vesper.sa
Promops_nasutus	non.vesper.sa
Pteronotus_davyi	non.vesper.sa
Pteronotus_gymnonotus	non.vesper.sa
Pteronotus_personatus	non.vesper.sa
Pteronotus_rubiginosus	non.vesper.sa
Rhogeessa_aeneus	vesper.na
Rhogeessa_genowaysi	vesper.na
Rhogeessa_io	both
Rhogeessa_mira	vesper.na
Rhogeessa_parvula	vesper.na
Rhogeessa_tumida	vesper.na
Rhynchonycteris_naso	non.vesper.sa
Saccopteryx_bilineata	non.vesper.sa
Saccopteryx_canescens	non.vesper.sa
Saccopteryx_gymnura	non.vesper.sa
Saccopteryx_leptura	non.vesper.sa
Tadarida_brasiliensis	non.vesper.sa
Thyroptera_discifera	non.vesper.sa
Thyroptera_lavali	non.vesper.sa
Thyroptera_tricolor	non.vesper.sa
Tomopeas_ravus	non.vesper.sa
